"name","short_name","city","region","district","founder","type","coordinates","rosrid_id"
"Государственное автономное образовательное учреждение высшего образования города Москвы «Московский городской педагогический университет»","МГПУ","Москва","Москва","Центральный","Департамент образования и науки города Москвы","Базовая часть","[55.833643,37.643471]",2047630
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет геодезии и картографии»","МИИГАиК","Москва","Москва","Центральный","Министерство науки и высшего образования Российской Федерации","Кандидат","[55.763493,37.662039]",8786584
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет пищевых производств»","МГУПП","Москва","Москва","Центральный","Министерство науки и высшего образования Российской Федерации","Кандидат","[55.806884,37.496309]",7600734
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский педагогический государственный университет»","МПГУ","Москва","Москва","Центральный","Министерство просвещения Российской Федерации","Кандидат","[55.732296,37.576250]",8510320
"Федеральное государственное автономное образовательное учреждение высшего образования «Московский политехнический университет»","МПУ","Москва","Москва","Центральный","Министерство науки и высшего образования Российской Федерации","Базовая часть","[55.781291,37.711518]",5833017
"Федеральное государственное автономное образовательное учреждение высшего образования «Московский физико-технический институт (национальный исследовательский университет)»","МФТИ","Москва","Москва","Центральный","Министерство науки и высшего образования Российской Федерации","Исследовательское лидерство","[55.655646,37.584281]",1798861
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Национальный исследовательский Мордовский государственный университет им. Н.П. Огарёва»","МГУ (Саранск)","Саранск","Республика Мордовия","Приволжский","Министерство науки и высшего образования Российской Федерации","Базовая часть","[54.187907,45.181477]",10008375
"Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет «Московский институт электронной техники»","НИУ МИЭТ","Зеленоград","Москва","Центральный","Министерство науки и высшего образования Российской Федерации","Базовая часть","[55.983383,37.208453]",1651991
"Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский ядерный университет «МИФИ»","НИЯУ МИФИ","Москва","Москва","Центральный","Министерство науки и высшего образования Российской Федерации","Исследовательское лидерство","[55.649870,37.664393]",2048679
"Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского»","ННГУ","Нижний Новгород","Нижегородская область","Приволжский","Министерство науки и высшего образования Российской Федерации","Исследовательское лидерство","[56.297658,43.977878]",6296431
"Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский технологический университет «МИСиС»","МИСиС","Москва","Москва","Центральный","Министерство науки и высшего образования Российской Федерации","Исследовательское лидерство","[55.728292,37.609461]",2659403
"Федеральное государственное бюджетное образовательное учреждение высшего образования Национальный исследовательский университет «МЭИ»","МЭИ","Москва","Москва","Центральный","Министерство науки и высшего образования Российской Федерации","Базовая часть","[55.753483,37.709892]",1109698
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Новгородский государственный университет имени Ярослава Мудрого»","НовГУ","Великий Новгород","Новгородская область","Северо-Западный","Министерство науки и высшего образования Российской Федерации","Базовая часть","[58.542306,31.261174]",6451181
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Новосибирский государственный технический университет»","НГТУ (Новосибирск)","Новосибирск","Новосибирская область","Сибирский","Министерство науки и высшего образования Российской Федерации","Территориальное/отраслевое лидерство","[54.987746,82.906335]",6652199
"Федеральное государственное автономное образовательное учреждение высшего образования «Новосибирский национальный исследовательский государственный университет»","НГУ","Новосибирск","Новосибирская область","Сибирский","Министерство науки и высшего образования Российской Федерации","Исследовательское лидерство","[54.842958,83.090939]",6643488
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Омский государственный технический университет»","ОмГТУ","Омск","Омская область","Сибирский","Министерство науки и высшего образования Российской Федерации","Территориальное/отраслевое лидерство","[55.026071,73.290678]",9569096
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Оренбургский государственный университет»","ОГУ (Оренбург)","Оренбург","Оренбургская область","Приволжский","Министерство науки и высшего образования Российской Федерации","Базовая часть","[51.776815,55.108714]",6357254
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Орловский  государственный университет имени И.С. Тургенева»","ОГУ (Орёл)","Орёл","Орловская область","Центральный","Министерство науки и высшего образования Российской Федерации","Базовая часть","[52.951272,36.063559]",6196381
