level,block_title,group_number,group_title,program_number,program_title
Магистратура,"Инженерное дело, технологии и технические науки",20.00.00,Техносферная безопасность и природообустройство,20.04.02,Природообустройство и водопользование
Магистратура,"Инженерное дело, технологии и технические науки",21.00.00,"Прикладная геология, горное дело, нефтегазовое дело и геодезия",21.04.01,Нефтегазовое дело
Магистратура,"Инженерное дело, технологии и технические науки",21.00.00,"Прикладная геология, горное дело, нефтегазовое дело и геодезия",21.04.02,Землеустройство и кадастры
Магистратура,"Инженерное дело, технологии и технические науки",21.00.00,"Прикладная геология, горное дело, нефтегазовое дело и геодезия",21.04.03,Геодезия и дистанционное зондирование
Магистратура,"Инженерное дело, технологии и технические науки",22.00.00,Технологии материалов,22.04.01,Материаловедение и технологии материалов
Магистратура,"Инженерное дело, технологии и технические науки",22.00.00,Технологии материалов,22.04.02,Металлургия
Магистратура,"Инженерное дело, технологии и технические науки",23.00.00,Техника и технологии наземного транспорта,23.04.01,Технология транспортных процессов
Магистратура,"Инженерное дело, технологии и технические науки",23.00.00,Техника и технологии наземного транспорта,23.04.02,Наземные транспортно-технологические комплексы
Магистратура,"Инженерное дело, технологии и технические науки",23.00.00,Техника и технологии наземного транспорта,23.04.03,Эксплуатация транспортно-технологических машин и комплексов
Магистратура,"Инженерное дело, технологии и технические науки",24.00.00,Авиационная и ракетно-космическая техника,24.04.01,Ракетные комплексы и космонавтика
Магистратура,"Инженерное дело, технологии и технические науки",24.00.00,Авиационная и ракетно-космическая техника,24.04.02,Системы управления движением и навигация
Магистратура,"Инженерное дело, технологии и технические науки",24.00.00,Авиационная и ракетно-космическая техника,24.04.03,Баллистика и гидроаэродинамика
Магистратура,"Инженерное дело, технологии и технические науки",24.00.00,Авиационная и ракетно-космическая техника,24.04.04,Авиастроение
Магистратура,"Инженерное дело, технологии и технические науки",24.00.00,Авиационная и ракетно-космическая техника,24.04.05,Двигатели летательных аппаратов
Магистратура,"Инженерное дело, технологии и технические науки",25.00.00,Аэронавигация и эксплуатация авиационной и ракетно-космической техники,25.04.01,Техническая эксплуатация летательных аппаратов и двигателей
Магистратура,"Инженерное дело, технологии и технические науки",25.00.00,Аэронавигация и эксплуатация авиационной и ракетно-космической техники,25.04.02,Техническая эксплуатация авиационных электросистем и пилотажно-навигационных комплексов
Магистратура,"Инженерное дело, технологии и технические науки",25.00.00,Аэронавигация и эксплуатация авиационной и ракетно-космической техники,25.04.03,Аэронавигация
Магистратура,"Инженерное дело, технологии и технические науки",25.00.00,Аэронавигация и эксплуатация авиационной и ракетно-космической техники,25.04.04,Эксплуатация аэропортов и обеспечение полетов воздушных судов
Магистратура,"Инженерное дело, технологии и технические науки",26.00.00,Техника и технологии кораблестроения и водного транспорта,26.04.01,Управление водным транспортом и гидрографическое обеспечение судоходства
Магистратура,"Инженерное дело, технологии и технические науки",26.00.00,Техника и технологии кораблестроения и водного транспорта,26.04.02,"Кораблестроение, океанотехника и системотехника объектов морской инфраструктуры"
Магистратура,"Инженерное дело, технологии и технические науки",27.00.00,Управление в технических системах,27.04.01,Стандартизация и метрология
Магистратура,"Инженерное дело, технологии и технические науки",27.00.00,Управление в технических системах,27.04.02,Управление качеством
Магистратура,"Инженерное дело, технологии и технические науки",27.00.00,Управление в технических системах,27.04.03,Системный анализ и управление
Магистратура,"Инженерное дело, технологии и технические науки",27.00.00,Управление в технических системах,27.04.04,Управление в технических системах
Магистратура,"Инженерное дело, технологии и технические науки",27.00.00,Управление в технических системах,27.04.05,Инноватика
Магистратура,"Инженерное дело, технологии и технические науки",27.00.00,Управление в технических системах,27.04.06,Организация и управление наукоемкими производствами
Магистратура,"Инженерное дело, технологии и технические науки",27.00.00,Управление в технических системах,27.04.07,Наукоемкие технологии и экономика инноваций
Магистратура,"Инженерное дело, технологии и технические науки",27.00.00,Управление в технических системах,27.04.08,Управление интеллектуальной собственностью
Магистратура,"Инженерное дело, технологии и технические науки",28.00.00,Нанотехнологии и наноматериалы,28.04.01,Нанотехнологии и микросистемная техника
Магистратура,"Инженерное дело, технологии и технические науки",28.00.00,Нанотехнологии и наноматериалы,28.04.02,Наноинженерия
Магистратура,"Инженерное дело, технологии и технические науки",28.00.00,Нанотехнологии и наноматериалы,28.04.03,Наноматериалы
Магистратура,"Инженерное дело, технологии и технические науки",28.00.00,Нанотехнологии и наноматериалы,28.04.04,Наносистемы и наноматериалы
Магистратура,"Инженерное дело, технологии и технические науки",29.00.00,Технологии легкой промышленности,29.04.01,Технология изделий легкой промышленности
Магистратура,"Инженерное дело, технологии и технические науки",29.00.00,Технологии легкой промышленности,29.04.02,Технологии и проектирование текстильных изделий
